gid,nombre_plaza,ordenanza,clasificacion,id_barrios,nombre_barrio,ubicacion,st_asgeojson
11,DR. MANUEL F. MANTILLA,2136,PLAZA,41,INDUSTRIAL,VALENTIN GOMEZ-BERNARDO MONTEAGUDO,"{""type"":""Polygon"",""coordinates"":[[[-58.7898188734643,-27.4639291313209],[-58.7902811362326,-27.4646417306885],[-58.7901341427302,-27.463791860319],[-58.7898188734643,-27.4639291313209]]]}"
1085,PROF. EDUARDO JOSE ROBLES,3130,PLAZA,33,FRAY J DE LA QUINTANA,,"{""type"":""Polygon"",""coordinates"":[[[-58.796740255497,-27.5060022487418],[-58.7965581375823,-27.506018331984],[-58.7965400467692,-27.5065564179082],[-58.7967790351437,-27.5065566652876],[-58.796740255497,-27.5060022487418]]]}"
4,LA TRADICIÓN,S/D,PLAZA,79,SAN GERONIMO,PTE. DR. RAUL R. ALFONSIN-DOMINGO LASTRA-CARACAS-NARCISO LAPRIDA,"{""type"":""Polygon"",""coordinates"":[[[-58.7898902609112,-27.4763573043603],[-58.7896846485309,-27.475454333093],[-58.7889479161916,-27.475587783724],[-58.7885032162008,-27.4753920497297],[-58.7885543489726,-27.4756637728155],[-58.7886885802131,-27.4765452924323],[-58.7888395078208,-27.476519408092],[-58.7898902609112,-27.4763573043603]]]}"
3,VICE GOB. CLEMENTINO FORTE,3069,PLAZA,61,CIUDAD DE VALENCIA,JOSE NEGRO-GERARDO PISARELLO-ANTONIO P. BALLERINI-LAS GARDENIAS,"{""type"":""Polygon"",""coordinates"":[[[-58.7793983892209,-27.4470846874997],[-58.7789431413035,-27.4469482371239],[-58.7788382252968,-27.4472248485174],[-58.7787597519361,-27.4474317427732],[-58.7783711648786,-27.4484562359813],[-58.7788261979807,-27.4485943106265],[-58.7793983892209,-27.4470846874997]]]}"
5,MARIA MERCEDES ARTIEDA DE PRUYAS,5970,PLAZA,79,SAN GERONIMO,PEDRO LAPLACE-DOMINGO LASTRA-ALEJANDRO GALLARDO-NARCISO LAPRIDA,"{""type"":""Polygon"",""coordinates"":[[[-58.788944610838,-27.4737228479173],[-58.7889161363339,-27.4735740380105],[-58.7889105687253,-27.4735449412021],[-58.7892197169517,-27.4734932799257],[-58.7891367539275,-27.4730209394482],[-58.7881527203402,-27.473151064235],[-58.7882727579185,-27.473835117615],[-58.788944610838,-27.4737228479173]]]}"
56,INGENIERO SERANTES,7104,PLAZA,93,SERANTES,LORETO- JOSE IGNACIO AÑASCO- CALLE 473,"{""type"":""Polygon"",""coordinates"":[[[-58.8025461552508,-27.5057250610663],[-58.8025969113342,-27.5062087714729],[-58.8029906380857,-27.5061732852543],[-58.8029383505702,-27.5056837518521],[-58.8025461552508,-27.5057250610663]]]}"
57,DRA. MARIA ROSA MARKUS,7130,PLAZA,86,SAN ROQUE,PABLO NERUDA- TARTAGAL- MANUEL PUIG,"{""type"":""Polygon"",""coordinates"":[[[-58.8013040492675,-27.5124173227611],[-58.8008865844346,-27.5134560718064],[-58.8008710521868,-27.5134947192059],[-58.8018538715089,-27.5125929829923],[-58.8013040492675,-27.5124173227611]]]}"
175,PLAZA DE LOS ARBOLES AUTOCTONOS,S/D,ESPACIO VERDE,113,DR. MONTAÑA,KLEIN SEGISMUNDO- RAUL ALBERTO BALBASTRO- AGUSTIN LARA,"{""type"":""Polygon"",""coordinates"":[[[-58.7954515476333,-27.5209082985223],[-58.7953937459814,-27.5214279150536],[-58.7953137996505,-27.5221116690673],[-58.7961165054828,-27.5221798761642],[-58.7960290432471,-27.5229136391448],[-58.7959054424194,-27.5231039923094],[-58.7966047593493,-27.523461488602],[-58.7964220759696,-27.5223317010221],[-58.7964477876272,-27.5222464314737],[-58.7961861943507,-27.5215114130458],[-58.7961123917323,-27.5213009683637],[-58.7954515476333,-27.5209082985223]]]}"
326,S/N,,PLAZA,300,SANTA CATALINA,CARLOS CASTELLAN- EUSTAQUIO MIÑO- PEDRO MENDOZA- ABELARDO HECTOR DIMOTTA- ODIN FLEITAS-,"{""type"":""Polygon"",""coordinates"":[[[-58.8080710989439,-27.5269234916261],[-58.8065017996139,-27.52647605946],[-58.8055545056496,-27.5266368929084],[-58.8054676623271,-27.5261741414168],[-58.8048687345578,-27.5262634709288],[-58.8051025365436,-27.5275093417901],[-58.808097222102,-27.5270626734043],[-58.8080710989439,-27.5269234916261]]]}"
327,POCHO ROCH,6890,PLAZA,300,SANTA CATALINA,MARIO MILLAN MEDINA- MARILI MORALES SEGOVIA- ARMANDO NELLI- EVARISTO FERNANDEZ RUDAZ,"{""type"":""Polygon"",""coordinates"":[[[-58.8179152611426,-27.5233191688527],[-58.8178132408326,-27.5226902272215],[-58.8163292040163,-27.5229127066445],[-58.816418906904,-27.5235298493217],[-58.8179152611426,-27.5233191688527]]]}"
