id_arbol,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
8,San Juan 1278,Chica,Par,Crespón,Ninguno,5.0,1.0,True,-58.8370984073059,-27.471855988173
16,San juan 1268,Chica,Impar,Crespón,Ninguno,5.0,1.0,True,-58.837121250061,-27.4716634611739
17,Bolivar 1074,Mediana,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,True,-58.837566779011,-27.4708885098159
18,Bolívar 1110,Grande,Par,Crespón,Preensamblado,3.0,1.0,True,-58.8369429837179,-27.470921673199
19,Bolivar 1134,Grande,Par,Crespón,Preensamblado,5.0,2.0,True,-58.8366704269759,-27.4709510070949
20,Roca s/n,Grande,Par,Moringa,Ninguno,4.0,0.0,True,-58.822073884707,-27.467295483101
21,Calle Roca S/N,Grande,Par,Palo Borracho,Preensamblado,4.0,0.0,True,-58.8219546705109,-27.467277300477
22,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,True,-58.8220262548399,-27.4672459999659
23,Roca 750,Grande,Par,Ibirá Pitá,Media Tensión (Con Protección),3.0,2.0,True,-58.822296771094,-27.4674153165349
24,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,True,-58.8219896247319,-27.467220046228
25,Roca S/N,Mediana,Par,Jacarandá,Preensamblado,3.0,4.0,True,-58.8222011497149,-27.4673840190089
26,Gobernador velazco 2051,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),7.0,2.0,True,-58.8331676868239,-27.4817156830029
27,Jujuy 749,Mediana,Impar,Paraíso,Alta tensión (Con Protección),2.0,1.0,True,-58.8276439184259,-27.466503766439
28,Carlos pellegrini 681,Chica,Impar,Pata de Buey,Preensamblado,8.0,1.0,True,-58.841770291328,-27.4648133363329
29,La valle 2183,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),3.0,1.0,True,-58.82417251444,-27.478163208876
30,General paz 2425,Mediana,Impar,Paraíso,Alta tensión (Sin Protección),4.0,1.0,True,-58.8212349395719,-27.4798828912169
31,Pedri de siervi mz.34 lote 5,Grande,Impar,Paraíso,Alta tensión (Con Protección),3.0,5.0,True,-58.809446249921,-27.5274580984599
36,Maria teresa villone 5521,Grande,Impar,Paraíso,Alta tensión (Con Protección),5.0,4.0,True,-58.810867868316,-27.5266534401119
38,Maria teresa villon 5521,Grande,Impar,Ñangapirí,Alta tensión (Con Protección),2.0,5.0,True,-58.810859608232,-27.526563768315
39,Emilio noya 332,Mediana,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,True,-58.812717813795,-27.52633847757
40,Emilio noya 305 esq. Esquivel,Mediana,Par,Thevetia,Alta tensión (Con Protección),5.0,3.0,True,-58.81276493181,-27.527123367108
42,Montenegro y argentina roja 3490,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),5.0,2.0,True,-58.815919160843,-27.5228012007649
43,Argentina roja 3333,Chica,Impar,Thevetia,Media Tensión (Con Protección),5.0,2.0,True,-58.815691586162,-27.523060532664
46,Emilio noya285,Mediana,Par,Paraíso,Media Tensión (Con Protección),3.0,3.0,True,-58.8123569611679,-27.5256319085779
49,Dimota 3661,Mediana,Impar,Pata de Buey,Media Tensión (Con Protección),9.0,3.0,True,-58.811905127788,-27.5249896284679
50,Damota 3639,Mediana,Impar,Thevetia,Media Tensión (Con Protección),9.0,3.0,True,-58.812529188245,-27.524842041879
51,Plaza libertad,Grande,Par,Ibirá Pitá,Ninguno,3.0,0.0,True,-58.822606760112,-27.4705016460529
54,Coronel artaza y laureles,Mediana,Par,Paraíso,Media Tensión (Con Protección),3.0,2.0,True,-58.784621479716,-27.4936830329709
56,Adolfo cipriano 130,Mediana,Par,Pata de Buey,Alta tensión (Con Protección),4.0,3.0,True,-58.814123739156,-27.522548197498
57,Adolfo cipriano 2832,Mediana,Par,Pata de Buey,Alta tensión (Con Protección),4.0,3.0,True,-58.814044276757,-27.522722239469
58,Abelardo dimotta,Parterre Central,Par,Jacarandá,Ninguno,5.0,20.0,True,-58.811327860718,-27.522507174576
